UIN,event_name,event_topic,event_keywords,event_type,event_role,event_start_date,event_end_date,event_other_participants,other_participants_role,event_sponsor,event_location,event_city,event_country,event_link,event_processed_timestamp,event_inserted_timestamp,event_updated_timestamp,event_processed_date,event_inserted_date,event_updated_date,event_delete_flag_timestamp,event_processed_date timestamp,event_inserted_date timestamp
AP007468,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Session 47 - Calcific & Complex CAD,Coronary Artery Disease,Conference,Panellist,2023-12-07,2023-12-10,"Anuj Kapadia, Satish Chainsingh Suryavanshi, Rajagopala Raju, Pramod Kumar Dhar",Panellist,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,12:02,12:02,,2025-04-16,2025-04-16,,,2025-04-16 12:02:46,2025-04-16 12:02:46
AP010567,2024 Annual Conference of Endocrine Society of India,The Missing Link: Comprehensive Screening in Type 2 Diabetes Management,Diabetes,Conference,Speaker,2024-11-07,2024-11-10,,,Endocrine Society of India,Novotel Visakhapatnam Varun Beach,Visakhapatnam,India,https://www.esicon2024vizag.com/img/esicon2024ScientificProgramme.pdf,12:24,12:24,,2025-04-25,2025-04-25,,,2025-04-25 12:24:13,2025-04-25 12:24:13
AP010567,2020 Institute for Diabetes Endocrinology and Adiposity Digital Conference,Redefining the Insulin Therapy,Insulin,Conference,Speaker,2020-12-06,2020-12-06,,,Conference Series LLC Ltd,,,,http://efaidnbmnnnibpcajpcglclefindmkaj/https://www.ideaskills.com/wp-content/uploads/2020/11/IDEA-CLINICS-NATIONAL-DIGITAL-CONFERENCE-2020-2.pdf,12:24,12:24,,2025-04-25,2025-04-25,,,2025-04-25 12:24:13,2025-04-25 12:24:13
AP011293,2021 COVID-19 (coronavirus) and diabetes,Covid-19 & Diabetes,Diabetes,Webinar,Speaker,2021-06-25,2021-06-25,,,Dr. Mohan's Diabetes Specialties Centre,,,,https://www.youtube.com/watch?v=zOLpUVmfxVE,11:29,11:29,,2025-04-17,2025-04-17,,,2025-04-17 11:29:36,2025-04-17 11:29:36
AP011293,2021 Live Discussion on Diabetes in Women,Diabetes In Women,Diabetes,Webinar,Speaker,2021-11-10,2021-11-10,"V Mohan, N G Sastry, Santhilal, Vamsi Krishna, Vedire Abinav, G Rajasekhar, Shiva Kumar",Speaker,Dr V Mohan,,,,https://www.youtube.com/watch?v=FezUXbiNVTs,11:29,11:29,,2025-04-17,2025-04-17,,,2025-04-17 11:29:36,2025-04-17 11:29:36
AP012667,2022 Cardiological Society of India Update,Colchicine and Cardiology: What is New?,Cardiology,Meeting,Speaker,2022-11-21,2022-11-21,"T Suresh Babu, Siva Kumar Damireddy, G Venkateshwar Reddy",Speaker,Cardiological Society of India,,,,https://heartguruindia.com/pdf/Volume-1-Binder1.pdf,17:44,17:44,,2025-04-27,2025-04-27,,,2025-04-27 17:44:23,2025-04-27 17:44:23
AP012667,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Antiplatelet & Anticoagulants,Anticoagulants,Conference,Panellist,2023-12-07,2023-12-10,,,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,17:44,17:44,,2025-04-27,2025-04-27,,,2025-04-27 17:44:23,2025-04-27 17:44:23
AP016272,2023 Cardiology World Conference,Assessment of strain imaging in the prediction of early Cancer Therapy-Related Cardiac Dysfunction (CTRCD) troponin and its correlation with serum biomarker (TROPONIN-I),Cardiac Disease,Conference,Author,2023-09-18,2023-09-20,,,Magnus Group,,Valencia,Spain,https://cardiologyworldconferences.wordpress.com/2023/07/06/4th-edition-of-cardiology-world-conference-valencia-spain-3/,18:59,18:59,,2025-04-26,2025-04-26,,,2025-04-26 18:59:18,2025-04-26 18:59:18
AP019790,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Live Workshop : TEE.. All you need to know : Transmitted from R N Tagore Hospital,Cardiology,Conference,Chair,2023-12-07,2023-12-10,,,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,15:34,15:34,,2025-04-15,2025-04-15,,,2025-04-15 15:34:19,2025-04-15 15:34:19
AP020596,2023 Two day Sub-Regional Conference,Discussion on Two day Sub-Regional,Health Care,Webinar,Speaker,2023-07-04,2023-07-04,,,The Customs Cooperation Fund,Hotel Novotel,Bhopal,India,https://www.youtube.com/watch?v=wzDtiXBggpU,11:46,11:46,,2025-04-27,2025-04-27,,,2025-04-27 11:46:49,2025-04-27 11:46:49
AP020634,2020 Webinar on Blood Sugar and Coronavirus | Managing Blood Sugar Amidst the COVID-19 Pandemic,Blood Sugar and Coronavirus | Managing Blood Sugar Amidst the COVID-19 Pandemic,Blood Sugar,Webinar,Speaker,2020-06-03,2020-06-03,,,Yashoda Hospitals,,,,https://www.youtube.com/watch?v=Docjqi6astM,15:29,15:29,,2025-04-19,2025-04-19,,,2025-04-19 15:29:08,2025-04-19 15:29:08
AP021049,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Future prospects of anti-inflammatory therapies in Cardiovascular risk reduction (10 min),Cardiovascular Disease,Conference,Speaker,2023-12-07,2023-12-10,,,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,15:42,15:42,,2025-04-27,2025-04-27,,,2025-04-27 15:42:45,2025-04-27 15:42:45
AP021131,2025 Complex and High-risk Interventional Procedures-Chronic Total Occlusion India Conference,Discussion on Cardiology,Cardiology,Conference,Speaker,2025-01-30,2025-02-01,,,Indian Foundation of Advanced Cardiovascular Interventions,Hotel Pullman,New Delhi,India,https://chipctoindia.com/assets/scientific-agenda.pdf,18:15,18:15,,2025-04-27,2025-04-27,,,2025-04-27 18:15:10,2025-04-27 18:15:10
AP021131,2025 Complex and High-risk Interventional Procedures-Chronic Total Occlusion India Conference,"LIVE CASE 2 : Indus Hospital, Vizag",Chronic Total Occlusion,Conference,Speaker,2025-01-30,2025-02-01,,,Indian Foundation of Advanced Cardiovascular Interventions,Hotel Pullman,New Delhi,India,https://chipctoindia.com/assets/scientific-agenda.pdf,18:15,18:15,,2025-04-27,2025-04-27,,,2025-04-27 18:15:10,2025-04-27 18:15:10
AP021131,2025 Complex and High-risk Interventional Procedures-Chronic Total Occlusion India Conference,My Worst Complication,Chronic Total Occlusion,Conference,Moderator,2025-01-30,2025-02-01,,,Indian Foundation of Advanced Cardiovascular Interventions,Hotel Pullman,New Delhi,India,https://chipctoindia.com/assets/scientific-agenda.pdf,18:15,18:15,,2025-04-27,2025-04-27,,,2025-04-27 18:15:10,2025-04-27 18:15:10
AP021131,2025 Complex and High-risk Interventional Procedures-Chronic Total Occlusion India Conference,Innovations In PCI- Who Showed Most Innovative And New Technique? - 2,Percutaneous Coronary Intervention,Conference,Chair,2025-01-30,2025-02-01,,,Indian Foundation of Advanced Cardiovascular Interventions,Hotel Pullman,New Delhi,India,https://chipctoindia.com/assets/scientific-agenda.pdf,18:15,18:15,,2025-04-27,2025-04-27,,,2025-04-27 18:15:10,2025-04-27 18:15:10
AP021131,2025 Complex and High-risk Interventional Procedures-Chronic Total Occlusion India Conference,Live Case 9,Chronic Total Occlusion,Conference,Chair,2025-01-30,2025-02-01,,,Indian Foundation of Advanced Cardiovascular Interventions,Hotel Pullman,New Delhi,India,https://chipctoindia.com/assets/scientific-agenda.pdf,18:15,18:15,,2025-04-27,2025-04-27,,,2025-04-27 18:15:10,2025-04-27 18:15:10
AP021131,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Woman and Cardiovascular Health,Cardiovascular Disease,Conference,Panellist,2023-12-07,2023-12-10,,,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,18:15,18:15,,2025-04-27,2025-04-27,,,2025-04-27 18:15:10,2025-04-27 18:15:10
AP021131,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,CTO,Chronic Total Occlusion,Conference,Panellist,2023-12-07,2023-12-10,,,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,18:15,18:15,,2025-04-27,2025-04-27,,,2025-04-27 18:15:10,2025-04-27 18:15:10
AP021131,2023 Interventional Conference on Women Cardiac Care,Indus Hospital,Cardiology,Conference,Speaker,2023-03-04,2023-03-05,,,Women In Cardiology And Related Sciences (WINCARS) Association,Indore Marriott Hotel,Indore,India,https://wincarsassociation.com/public/front/pdf/wcc-agenda-2023.pdf,18:15,18:15,,2025-04-27,2025-04-27,,,2025-04-27 18:15:10,2025-04-27 18:15:10
AP021131,2023 Interventional Conference on Women Cardiac Care,Padmava Oraon,Cardiology,Conference,Chair,2023-03-04,2023-03-05,,,Women In Cardiology And Related Sciences (WINCARS) Association,Indore Marriott Hotel,Indore,India,https://wincarsassociation.com/public/front/pdf/wcc-agenda-2023.pdf,18:15,18:15,,2025-04-27,2025-04-27,,,2025-04-27 18:15:10,2025-04-27 18:15:10
AP021131,2023 Interventional Conference on Women Cardiac Care,Live Case Transmission,Cardiology,Conference,Chair,2023-03-04,2023-03-05,,,Women In Cardiology And Related Sciences (WINCARS) Association,Indore Marriott Hotel,Indore,India,https://wincarsassociation.com/public/front/pdf/wcc-agenda-2023.pdf,18:15,18:15,,2025-04-27,2025-04-27,,,2025-04-27 18:15:10,2025-04-27 18:15:10
AP021131,2023 Interventional Conference on Women Cardiac Care,PCI Outcomes in Women,Percutaneous Coronary Intervention,Conference,Speaker,2023-03-04,2023-03-05,,,Women In Cardiology And Related Sciences (WINCARS) Association,Indore Marriott Hotel,Indore,India,https://wincarsassociation.com/public/front/pdf/wcc-agenda-2023.pdf,18:15,18:15,,2025-04-27,2025-04-27,,,2025-04-27 18:15:10,2025-04-27 18:15:10
AP021131,2023 Interventional Conference on Women Cardiac Care,Clinical Cardiology Session 2,Cardiology,Conference,Chair,2023-03-04,2023-03-05,,,Women In Cardiology And Related Sciences (WINCARS) Association,Indore Marriott Hotel,Indore,India,https://wincarsassociation.com/public/front/pdf/wcc-agenda-2023.pdf,18:15,18:15,,2025-04-27,2025-04-27,,,2025-04-27 18:15:10,2025-04-27 18:15:10
AP021131,2023 Interventional Conference on Women Cardiac Care,From The Maestro,Cardiology,Conference,Chair,2023-03-04,2023-03-05,,,Women In Cardiology And Related Sciences (WINCARS) Association,Indore Marriott Hotel,Indore,India,https://wincarsassociation.com/public/front/pdf/wcc-agenda-2023.pdf,18:15,18:15,,2025-04-27,2025-04-27,,,2025-04-27 18:15:10,2025-04-27 18:15:10
AP021131,2023 Interventional Conference on Women Cardiac Care,PSS Program,Cardiology,Conference,Speaker,2023-03-04,2023-03-05,,,Women In Cardiology And Related Sciences (WINCARS) Association,Indore Marriott Hotel,Indore,India,https://wincarsassociation.com/public/front/pdf/wcc-agenda-2023.pdf,18:15,18:15,,2025-04-27,2025-04-27,,,2025-04-27 18:15:10,2025-04-27 18:15:10
AP024406,2025 Cardiovascular Summit Transcatheter Cardiovascular Therapeutics Asia Pacific,TCTAP C-114 A Challenging Case Report: Primary PCI to Left Main Coronary Artery Stenosis in a Patient With Acute Coronary Syndrome [qRBBB] Post Cardiac Arrest Caused by Extrinsic Mediastinal Mass [Synovial Sarcoma] Compression,Cardiac Disease,Summit,Author,2025-04-23,2025-04-26,,,CardioVascular Research Foundation,COEX Convention & Exhibition Center,Seoul,South Korea,https://www.summit-tctap.com/2025/TCTAP2025_Programbook.pdf?v=2025042311,18:12,18:12,,2025-04-16,2025-04-16,,,2025-04-16 18:12:26,2025-04-16 18:12:26
AP024406,2024 National Conference of Indian College of Cardiology,Primary PCI in ACS Post Cardiac Arresting Patient with Sarcoma Causing Left Main Compression (6 + 2 min),Cardiac Disease,Conference,Speaker,2024-09-20,2024-09-22,,,Indian College of Cardiology,Swosti Premium Beach Resort,Puri,India,https://promeetings.in/ICCCON2024/Brochure/Scientific_Agenda_ICCCON2024.pdf,18:12,18:12,,2025-04-16,2025-04-16,,,2025-04-16 18:12:26,2025-04-16 18:12:26
AP028227,2024 National Medical Commission Program,Discussion on Cardiology,Cardiology,Meeting,Faculty,2024-08-31,2024-08-31,,,National Medical Commission,,,,https://gems.edu.in/wp-content/uploads/2024/07/NMC-faculty-data-Updated-on-31.07.2024.pdf,10:04,10:04,,2025-04-23,2025-04-23,,,2025-04-23 10:04:49,2025-04-23 10:04:49
AP034365,2025 Complex and High-risk Interventional Procedures-Chronic Total Occlusion India Conference,A Stitch In Time Saves Nine,Chronic Total Occlusion,Conference,Speaker,2025-01-30,2025-02-01,,,Indian Foundation of Advanced Cardiovascular Interventions,Hotel Pullman,New Delhi,India,https://chipctoindia.com/agenda.php,12:57,12:57,,2025-04-15,2025-04-15,,,2025-04-15 12:57:25,2025-04-15 12:57:25
AP034365,2025 Complex and High-risk Interventional Procedures-Chronic Total Occlusion India Conference,Stemi Strikes Twice: A Relentless Foe And My Strategic Battle To Overcome It,STEMI,Conference,Speaker,2025-01-30,2025-02-01,,,Indian Foundation of Advanced Cardiovascular Interventions,Hotel Pullman,New Delhi,India,https://chipctoindia.com/agenda.php,12:57,12:57,,2025-04-15,2025-04-15,,,2025-04-15 12:57:25,2025-04-15 12:57:25
AP034365,2025 Complex and High-risk Interventional Procedures-Chronic Total Occlusion India Conference,Where There Will There Is A Way,Chronic Total Occlusion,Conference,Speaker,2025-01-30,2025-02-01,,,Indian Foundation of Advanced Cardiovascular Interventions,Hotel Pullman,New Delhi,India,https://chipctoindia.com/agenda.php,12:57,12:57,,2025-04-15,2025-04-15,,,2025-04-15 12:57:25,2025-04-15 12:57:25
AP034365,2022 Cardiological Society of India National Interventional Council Mid-Term Meeting,Coronary artery ectasia with significant obstructive CAD in STEMI,Coronary Syndrome,Meeting,Speaker,2022-06-17,2022-06-19,,,Cardiological Society of India,The Forum Club O7,Ahmedabad,India,https://storage.unitedwebnetwork.com/files/915/0a3b8df89c472f46120f9120cbebabf0.pdf,12:57,12:57,,2025-04-15,2025-04-15,,,2025-04-15 12:57:25,2025-04-15 12:57:25
AP034365,2022 Cardiological Society of India National Interventional Council Mid-Term Meeting,"A Tale of a Simple Coronary Angioplasty Turn out to Nightmare, What Went Wrong? How We Managed?",Coronary Syndrome,Meeting,Speaker,2022-06-17,2022-06-19,,,Cardiological Society of India,The Forum Club O7,Ahmedabad,India,https://storage.unitedwebnetwork.com/files/915/0a3b8df89c472f46120f9120cbebabf0.pdf,12:57,12:57,,2025-04-15,2025-04-15,,,2025-04-15 12:57:25,2025-04-15 12:57:25
AP034365,2022 Adjunct Symposium,A Prospective study on Efficacy of Global Longitudinal Strain in detection of Anthracycline Chemotherapy Related Cardiotoxicity ( Left Ventricular Dysfunction/ Heart Failure),Heart Failure,Meeting,Speaker,2022-02-12,2022-02-12,,,Cardiological Society of India,,,,https://storage.unitedwebnetwork.com/files/941/31d94134bdacdecc8a0aae52f334d135.pdf,12:57,12:57,,2025-04-15,2025-04-15,,,2025-04-15 12:57:25,2025-04-15 12:57:25
AP034365,2022 Annual Virtual Conference of Heart Failure Association of India,A Prospective study on Efficacy of Global Longitudinal Strain in detection of Anthracycline Chemotherapy Related Cardiotoxicity ( Left Ventricular Dysfunction/ Heart Failure),Heart Failure,Conference,Speaker,2022-02-11,2022-02-13,,,Heart Failure Association of India,,,,https://hfai.co.in/wp-content/uploads/2022/08/HFAI-2022-Program-11-12-13-1.pdf,12:57,12:57,,2025-04-15,2025-04-15,,,2025-04-15 12:57:25,2025-04-15 12:57:25
AS001448,2024 Indian Thyroid Society Annual Conference,Discussion On Diabetology,Thyroid,Conference,Speaker,2024-08-09,2024-08-11,,,Indian Thyroid Society,Holiday Inn Lucknow,Lucknow,India,https://www.itscon2024.com/pdf/itscon-brochure.pdf,10:33,10:33,,2025-05-05,2025-05-05,,,2025-05-05 10:33:47,2025-05-05 10:33:47
AS007786,2024 Biennial Conference of Cardiological Society of Assam,Scientific Core Committee,Cardiology,Conference,Member,2024-12-27,2024-12-29,"Neil Bordoloi, Amit Malvia, Farhin Iqbal",Scientific Core Committee,Cardiological Society of Assam,Shagun Banquet Hall,Silchar,India,https://cardiocon2024.com/organising-committee/,14:01,14:01,,2025-04-21,2025-04-21,,,2025-04-21 14:01:49,2025-04-21 14:01:49
AS007786,2023 Annual Conference of the Cardiological Society of India,Session 31 - Hypertension 2 : In Special Situations,Hypertension,Conference,Panellist,2023-07-12,2023-10-12,"S S Binu, Ashok Kumar, Kaushik Biswas, A K Shrivastava, Robert Mao, V K Dhandhania, George Thayil",Panellist,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,14:01,14:01,,2025-04-21,2025-04-21,,,2025-04-21 14:01:49,2025-04-21 14:01:49
AS007786,2023 Annual Conference of the Cardiological Society of India,Session 118 - Oral Abstract Presentation - 9,Cardiology,Conference,Judge,2023-07-12,2023-10-12,"Surendra Daga, Bijaya Kumar Mishra, Priyaranjan Parida, Yash Paul Sharma",Judge,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,14:01,14:01,,2025-04-21,2025-04-21,,,2025-04-21 14:01:49,2025-04-21 14:01:49
AS007786,2023 Annual Conference of the Cardiological Society of India,Tips & Tricks for Saphenous Vein Graft Intervention (10 min),Intervention,Conference,Speaker,2023-07-12,2023-10-12,,,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,14:01,14:01,,2025-04-21,2025-04-21,,,2025-04-21 14:01:49,2025-04-21 14:01:49
AS007786,2024 Annual Conference of Indian Heart Rhythm Society,Precision medicine approach to arrhythmia: How far we are?,Heart Disease,Conference,Speaker,2024-11-15,2024-11-17,,,Indian Heart Rhythm Society,Novotel Hotel,Kolkata,India,https://ihrscon2024.com/assets/img/scientific-program.pdf,14:01,14:01,,2025-04-21,2025-04-21,,,2025-04-21 14:01:49,2025-04-21 14:01:49
AS007786,2023 Cardiological Society of India - National Interventional Council (CSINIC) Mid Term Meeting,Complex PCI Lecture Session,Percutaneous Coronary Intervention,Meeting,Moderator,2023-06-29,2023-07-02,,,Cardiological Society of India,Hyderabad International Convention Centre Novotel,Hyderabad,India,https://www.csi.org.in/frontend/assets/assets/16th%20June%202023%20-%20CSI%20NIC%202023%20-%20Scientific%20Program.pdf,14:01,14:01,,2025-04-21,2025-04-21,,,2025-04-21 14:01:49,2025-04-21 14:01:49
AS008255,2024 Annual Conference of Association of Physicians of India,Debate for the motion,Health Care,Conference,Speaker,2024-12-20,2024-12-22,,,Association of Physicians of India,Mayfair Sonapur,Guwahati,India,https://assamezapicon2024.com/wp-content/uploads/2024/12/APICON_Scientific_Program.pdf,18:52,18:52,,2025-04-17,2025-04-17,,,2025-04-17 18:52:52,2025-04-17 18:52:52
AS008255,2024 Annual Conference of Indian Thyroid Society,Hyperthyroidism in pregnancy – what are the tips in management?,Thyroid,Conference,Speaker,2024-09-08,2024-11-08,,,Indian Thyroid Society,Holiday Inn,Lucknow,India,https://itscon2024.com/pdf/Programme.pdf,18:52,18:52,,2025-04-17,2025-04-17,,,2025-04-17 18:52:52,2025-04-17 18:52:52
AS008255,2022 Endocrine Society of India Annual Meeting,Fabkins: Is it the Beginning of the End of Diabetes,Diabetes,Meeting,Speaker,2022-12-22,2022-12-24,,,Endocrine Society of India,B M Birla Auditorium,Jaipur,India,https://www.esicon2022.com/assets/frontend/pdf/Esicon-2022-Fri-23rd-Dec-2022.pdf,18:52,18:52,,2025-04-17,2025-04-17,,,2025-04-17 18:52:52,2025-04-17 18:52:52
AS016026,2024 Eternal Heart Conclave,Session 4: Heart Failure,Heart Failure,Meeting,Chair,2024-10-18,2024-10-20,"Dr Ravi Kasliwal, Dr Kapil Bhargava, Dr V V Agarwal, Dr D K Agarwal, Dr Jitendra Makkar, Dr Pintu Nahata, Drmanish Agarwal, Dr J B Gupta","Chairperson, Panellist","Eternal Hospital, Mount Sinai Hospital","Hotel Marrio, Ashram Marg",Jaipur,India,http://eternalhospital.in/EHC-Brochure-2024.pdf,13:28,13:28,,2025-04-21,2025-04-21,,,2025-04-21 13:28:45,2025-04-21 13:28:45
AS016026,2024 Eternal Heart Conclave,ARNI across spectrum of Heart Failure,Heart Failure,Meeting,Speaker,2024-10-18,2024-10-20,,,"Eternal Hospital, Mount Sinai Hospital","Hotel Marrio, Ashram Marg",Jaipur,India,http://eternalhospital.in/EHC-Brochure-2024.pdf,13:28,13:28,,2025-04-21,2025-04-21,,,2025-04-21 13:28:45,2025-04-21 13:28:45
AS016026,2024 RaJ CSI Valve Club,Hitch in decision of TAVR - How to overcome,Transcatheter Aortic Valve Replacement,Workshop,Moderator,2024-12-15,2024-12-15,"Dr Bhanwar Ranwa, Dr Ashwani Sharma, Dr Gaurav Mathur, Dr Anshul Gupta",Moderator,Cardiology Society of India - Rajasthan,Hotel Marriott,Jaipur,India,https://www.csirajasthan.com/frontend/documents/RVS%20Scientific%20Brochure.pdf,13:28,13:28,,2025-04-21,2025-04-21,,,2025-04-21 13:28:45,2025-04-21 13:28:45
BR004193,2023 Annual Conference of Clinical Cardio & Diabetic Society of India,Approach to a patient of syncope,Cardiology,Conference,Speaker,2023-04-07,2023-04-09,,,The Clinical Cardio & Diabetic Society of India,Jubilee Hall,Begusarai,India,https://ccdsi.org/wp-content/uploads/2023/04/CCDSICON-BJ-2023-2.pdf,14:16,14:16,,2025-04-16,2025-04-16,,,2025-04-16 14:16:05,2025-04-16 14:16:05
BR004193,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Session 37 - Antiplatelet & Anticoagulants,Anticoagulants,Conference,Panellist,2023-12-07,2023-12-10,"Ashish Kumar Jha, Supratip Kundu, Darshan Navinbhai Banker, Neil Bardoloi, A K Thakur, Pradip Saha",Panellist,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,14:16,14:16,,2025-04-16,2025-04-16,,,2025-04-16 14:16:05,2025-04-16 14:16:05
BR011045,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Session 31 - Hypertension 2 : In Special Situations,Hypertension,Conference,Chair,2023-12-07,2023-12-10,"C Venkata S Ram, Giuseppe Mancia, Jyotirmoy Pal, Rajeev Gupta (Jaipur), Gurpreet Singh Wander, Vitull K Gupta",Chair,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,12:33,12:33,,2025-04-16,2025-04-16,,,2025-04-16 12:33:41,2025-04-16 12:33:41
BR024233,2024 Annual Live Interventions in Vascular Endotherapy,Discussion on Cardiology,Cardiology,Webinar,Speaker,2024-01-25,2024-01-25,,,,Manekshaw Convention Centre,New Delhi,India,https://www.facebook.com/hearthospitalpatnabihar/posts/dr-vinit-kumar-md-dm-fesc-fscai-fapsc-senior-interventional-cardiologist-heart-h/884065703727000/,16:15,16:15,,2025-04-18,2025-04-18,,,2025-04-18 16:15:14,2025-04-18 16:15:14
BR024233,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Session 40 - Cardio Obstetrics,Cardiology,Conference,Panellist,2023-12-07,2023-12-10,"Chandan Kumar Das, Nishant Tripathy, Anindya Sarkar, Eapen Abraham, Sunitha Viswanathan, Shibba Takkar Chhabra",Panellist,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,16:15,16:15,,2025-04-18,2025-04-18,,,2025-04-18 16:15:14,2025-04-18 16:15:14
BR027682,"2025 Annual Conference of the Cardiological Society of India, Maharashtra State",Session 11 - ROVUS Symposium,Cardiology,Conference,Chair,2025-02-28,2025-03-02,Ajit Bhagwat,Chair,Cardiological Society of India - Maharashtra State Chapter,Rama International - Chh. Sambhaji Nagar,Aurangabad,India,https://www.csimaharashtra.com/Brochure/CSI_PUNE_2024_PARTNERSHIP_BROCHURE_V6.pdf,13:13,13:13,,2025-04-16,2025-04-16,,,2025-04-16 13:13:46,2025-04-16 13:13:46
BR027682,"2025 Annual Conference of the Cardiological Society of India, Maharashtra State",Session 13 - Interventional Potpourri (10 mins talk + 2 mins discussion),Intervention,Conference,Chair,2025-02-28,2025-03-02,"Satish Roplekar, Pratap Nathani, Aniruddha Dharmadhikari",Chair,Cardiological Society of India - Maharashtra State Chapter,Rama International - Chh. Sambhaji Nagar,Aurangabad,India,https://www.csimaharashtra.com/Brochure/CSI_PUNE_2024_PARTNERSHIP_BROCHURE_V6.pdf,13:13,13:13,,2025-04-16,2025-04-16,,,2025-04-16 13:13:46,2025-04-16 13:13:46
BR028656,2023 Annual National Conference of Indian Society 0f Nephrology,Cardiologist’s perspective,Cardiology,Conference,Speaker,2023-12-14,2023-12-14,,,La Renon Healthcare Pvt. Ltd,ITC Royal Bengal,Kolkata,India,http://efaidnbmnnnibpcajpcglclefindmkaj/https://isn-india.org/wp-content/uploads/2024/03/Scientific-Programme.pdf,10:52,10:52,,2025-04-27,2025-04-27,,,2025-04-27 10:52:14,2025-04-27 10:52:14
BR028656,2024 Joint National Conference on Pulmonary Diseases of National College of Chest Physicians (India) and Indian Chest Society,Inhalable Nano-Formulations: Pioneering the Future of Lung Disease Treatment,Lung Disease,Conference,Speaker,2024-11-21,2024-11-24,,,"National College of Chest Physicians (India), Indian Chest Society",PSG Institute of Medical Sciences and Research,Coimbatore,India,https://napcon2024.in/wp-content/uploads/2024/11/Scientific-program-13-Nov-24.pdf,10:52,10:52,,2025-04-27,2025-04-27,,,2025-04-27 10:52:14,2025-04-27 10:52:14
CG000525,2022 Workshop on Keeping your Heart Healthy,Keeping your Heart Healthy,Heart Disease,Webinar,Speaker,2022-01-29,2022-01-29,,,National Institutes of Health,,,,https://samvaad.ntpc.co.in/Home/Details/39768/Business%20Units,14:12,14:12,,2025-04-16,2025-04-16,,,2025-04-16 14:12:59,2025-04-16 14:12:59
CG003603,2024 National Conference of Indian College of Cardiology,Heart Failure - 1,Heart Failure,Conference,Chair,2024-09-20,2024-09-22,,,Indian College of Cardiology,Swosti Premium Beach Resort,Puri,India,https://promeetings.in/ICCCON2024/Brochure/Scientific_Agenda_ICCCON2024.pdf,15:25,15:25,,2025-04-17,2025-04-17,,,2025-04-17 15:25:37,2025-04-17 15:25:37
CG003603,2024 National Conference of Indian College of Cardiology,Drugs in Horizon,Cardiology,Conference,Chair,2024-09-20,2024-09-22,,,Indian College of Cardiology,Swosti Premium Beach Resort,Puri,India,https://promeetings.in/ICCCON2024/Brochure/Scientific_Agenda_ICCCON2024.pdf,15:25,15:25,,2025-04-17,2025-04-17,,,2025-04-17 15:25:37,2025-04-17 15:25:37
CG004624,2025 India Live Cardiology Conference of Interventional Cardiology Foundation of India,Late to Latest in PCI,Percutaneous Coronary Intervention,Conference,Panellist,2025-03-20,2025-03-23,,,Interventional Cardiology Foundation of India,Jio World Convention Centre,Mumbai,India,https://indialiveintcardiology.com/Brochure/Scientific_Agenda_India_Live_2025.pdf,14:58,14:58,,2025-04-17,2025-04-17,,,2025-04-17 14:58:49,2025-04-17 14:58:49
CG005818,2024 Transcatheter Cardiovascular Therapeutics Asia Pacific Cardiovascular Summit,LM Bifurcation With Rotatrypsy in 75 Yr Old Man With CKD,Bifurcation,Summit,Speaker,2024-04-25,2024-04-27,,,CardioVascular Research Foundation,Songdo Convensia Convention Center,Incheon,South Korea,http://efaidnbmnnnibpcajpcglclefindmkaj/https://www.summit-tctap.com/2024/TCTAP2024_Programbook.pdf,12:04,12:04,,2025-04-16,2025-04-16,,,2025-04-16 12:04:24,2025-04-16 12:04:24
